,Player_Name,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,Games,Games_Strated,Minutes_Played,ORB,PF,PTS,Position,STL,TOV,TRB,Team,eFG%
12,Rafael Araujo,53,.368,144,0,.000,1,15,25,6,101,53,.366,145,15,.536,28,52,34,601,43,104,121,C,24,42,144,TOR,.366
13,Gilbert Arenas,547,.485,1128,199,.369,540,484,24,25,221,746,.447,1668,655,.820,799,80,80,3384,59,286,2346,PG,161,297,280,WAS,.507
14,Trevor Ariza,92,.416,221,1,.200,5,61,20,11,140,93,.412,226,77,.606,127,57,10,999,78,100,264,SF,57,62,218,TOT,.414
15,Darrell Armstrong,32,.400,80,11,.229,48,86,37,3,63,43,.336,128,33,.786,42,62,2,622,18,71,130,PG,27,58,81,DAL,.379
16,Carlos Arroyo,161,.450,358,7,.350,20,232,26,4,97,168,.444,378,106,.774,137,77,0,1194,33,119,449,PG-SG,38,83,130,TOT,.454
17,Chucky Atkins,129,.431,299,97,.354,274,198,31,2,97,226,.394,573,129,.791,163,71,41,1713,23,152,678,PG-SG,43,87,120,TOT,.479
18,Stacey Augmon,25,.342,73,0,,0,23,37,6,35,25,.342,73,21,.700,30,36,3,385,18,40,71,SF,12,11,53,ORL,.342
19,Vin Baker,7,.467,15,0,,0,4,34,4,17,7,.467,15,13,.722,18,8,1,85,2,13,27,C,4,9,19,LAC,.467
20,Marcus Banks,197,.486,405,22,.349,63,220,24,11,112,219,.468,468,118,.803,147,58,29,1497,23,162,578,PG,54,119,135,TOT,.491
21,Leandro Barbosa,186,.501,371,87,.444,196,158,23,6,119,273,.481,567,111,.755,147,57,11,1592,31,145,744,SG,48,89,150,PHO,.558
22,Matt Barnes,67,.536,125,3,.200,15,28,25,7,73,70,.500,140,32,.681,47,56,5,631,48,100,175,PF-SF,20,30,121,TOT,.511
23,Andre Barrett,36,.400,90,2,.143,14,52,23,0,16,38,.365,104,9,.750,12,19,0,282,9,13,87,PG,10,15,25,TOT,.375
24,Earl Barron,5,.313,16,0,,0,0,24,0,8,5,.313,16,3,.750,4,8,0,45,2,10,13,C,0,5,10,MIA,.313
25,Brent Barry,76,.531,143,80,.396,202,123,34,27,130,156,.452,345,39,.661,59,74,5,1259,29,99,431,SG,39,52,159,SAS,.568
26,Jon Barry,13,.394,33,12,.375,32,26,36,1,30,25,.385,65,24,.828,29,20,0,342,1,25,86,SG,13,22,31,HOU,.477
27,Eddie Basden,14,.467,30,1,.143,7,8,22,2,21,15,.405,37,8,.800,10,19,0,141,7,17,39,SF,9,9,28,CHI,.419
28,Brandon Bass,28,.400,70,0,,0,3,20,7,50,28,.400,70,12,.632,19,29,1,268,18,18,68,PF,3,11,68,NOK,.400
29,Esteban Batista,34,.430,79,0,.000,1,7,22,11,83,34,.425,80,33,.623,53,57,3,495,61,111,101,PF,15,38,144,ATL,.425
30,Tony Battie,280,.513,546,0,.000,6,49,29,69,312,280,.507,552,89,.664,134,82,82,2215,145,250,649,C,46,88,457,ORL,.507
31,Shane Battier,238,.522,456,65,.394,165,136,27,114,265,303,.488,621,147,.707,208,81,81,2839,164,223,818,SF,92,90,429,MEM,.540
32,Lonny Baxter,45,.433,104,0,,0,4,27,8,72,45,.433,104,28,.800,35,41,0,400,45,56,118,C-PF,11,20,117,TOT,.433
33,Charlie Bell,109,.450,242,71,.423,168,130,26,5,99,180,.439,410,63,.708,89,59,6,1283,21,126,494,SG,59,41,120,MIL,.526
34,Raja Bell,228,.471,484,197,.442,446,207,29,22,209,425,.457,930,115,.788,146,79,79,2959,44,248,1162,SG,76,89,253,PHO,.563
